ID,DAY,TIME_OF DAY,EXACT_TIME(H:M),WEATHER,GRID,CORNER,HEIGHT,NO_OF_PERSONS,WINDOWS_OPEN,HUMIDITY,TEMP_CELCIUS
279,2,AFTERNOON,2:55,SUNNY,C,C4,LOW,3.0,1,0.59,34.2
280,2,AFTERNOON,3:10,SUNNY,C,C4,HIGH,3.0,1,0.56,35.1
281,2,AFTERNOON,2:52,SUNNY,D,D1,LOW,2.0,1,0.68,36.3
282,2,AFTERNOON,3:05,SUNNY,D,D1,HIGH,3.0,1,0.58,33.4
283,2,AFTERNOON,2:54,SUNNY,D,D2,LOW,3.0,1,0.55,34.3
284,2,AFTERNOON,3:01,SUNNY,D,D2,HIGH,4.0,1,0.54,34.9
285,2,AFTERNOON,2:48,SUNNY,D,D3,LOW,3.0,1,0.61,32.7
286,2,AFTERNOON,3:02,SUNNY,D,D3,HIGH,2.0,1,0.63,33.1
287,2,AFTERNOON,2:49,SUNNY,D,D4,LOW,3.0,1,0.62,33.3
288,2,AFTERNOON,3:11,SUNNY,D,D4,HIGH,3.0,1,0.52,35.3
289,2,AFTERNOON,2:49,SUNNY,E,E1,LOW,3.0,1,0.66,36.2
290,2,AFTERNOON,3:08,SUNNY,E,E1,HIGH,2.0,1,0.53,35.3
291,2,AFTERNOON,2:57,SUNNY,E,E2,LOW,2.0,1,0.68,34.9
292,2,AFTERNOON,3:01,SUNNY,E,E2,HIGH,4.0,1,0.51,32.2
293,2,AFTERNOON,2:58,SUNNY,E,E3,LOW,4.0,1,0.68,33.3
294,2,AFTERNOON,3:11,SUNNY,E,E3,HIGH,4.0,1,0.63,34.0
295,2,AFTERNOON,2:55,SUNNY,E,E4,LOW,2.0,1,0.59,35.3
296,2,AFTERNOON,3:15,SUNNY,E,E4,HIGH,4.0,1,0.55,33.1
297,2,AFTERNOON,2:52,SUNNY,F,F1,LOW,4.0,1,0.54,34.0
298,2,AFTERNOON,3:06,SUNNY,F,F1,HIGH,4.0,1,0.61,37.2
299,2,AFTERNOON,2:52,SUNNY,F,F2,LOW,2.0,1,0.67,34.9
300,2,AFTERNOON,3:05,SUNNY,F,F2,HIGH,3.0,1,0.71,34.6
301,2,AFTERNOON,3:00,SUNNY,F,F3,LOW,3.0,1,0.6,34.1
302,2,AFTERNOON,3:08,SUNNY,F,F3,HIGH,4.0,1,0.49,33.4
303,2,AFTERNOON,3:00,SUNNY,F,F4,LOW,3.0,1,0.52,34.1
304,2,AFTERNOON,3:09,SUNNY,F,F4,HIGH,2.0,1,0.63,33.3
305,2,AFTERNOON,2:56,SUNNY,G,G1,LOW,3.0,4,0.51,35.6
306,2,AFTERNOON,3:09,SUNNY,G,G1,HIGH,3.0,4,0.63,32.7
